,Cellphone Img,Cellphone Brand,Cellphone Model,Tag
59,"https://images-na.ssl-images-amazon.com/images/I/51xHLxgGgkL._AC_UL200_SR200,200_.jpg",Smartphone,"Apple iPhone 7 32 GB, plateado. Telcel pre-pago ",3
60,"https://images-na.ssl-images-amazon.com/images/I/418ZGBsqCnL._AC_UL200_SR200,200_.jpg",Hisense,"F23 - Smartphone 5.5"", 2GB RAM, 16GB ROM, Quad-core 1.3GHz, Dorado ",3
61,"https://images-na.ssl-images-amazon.com/images/I/81wxIgEOKcL._AC_UL200_SR200,200_.jpg",Smartphone,Apple iPhone 8 plus 64GB color plata. Movistar pre-pago ,3
62,"https://images-na.ssl-images-amazon.com/images/I/61Y%2BNMuv05L._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS MAX Gris Espacial - 64 GB - Telcel Prepago ,3
63,"https://images-na.ssl-images-amazon.com/images/I/713BLHZNbCL._AC_UL200_SR200,200_.jpg",Smartphone,Samsung Galaxy S8 Plus color plata. AT&T pre-pago ,3
64,"https://images-na.ssl-images-amazon.com/images/I/31SBF7TOkdL._AC_UL200_SR200,200_.jpg",Smartphone,"Samsung Galaxy S8, color negro. Telcel pre-pago. ",3
65,"https://images-na.ssl-images-amazon.com/images/I/61kSwEUN-LL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS MAX Oro - 256GB - Telcel Prepago ,3
66,"https://images-na.ssl-images-amazon.com/images/I/416ntfTxfZL._AC_UL200_SR200,200_.jpg",ZTE,Smartphone Blade A521 Blanco AT&T pre-Pago ,3
67,"https://images-na.ssl-images-amazon.com/images/I/61AUCF1GWwL._AC_UL200_SR200,200_.jpg",Hisense,Smartphone F20 Negro AT&T pre-Pago ,3
68,"https://images-na.ssl-images-amazon.com/images/I/71%2B3w6OmA6L._AC_UL200_SR200,200_.jpg",Apple,"iPhone 7 plus 256 GB, negro ",3
69,"https://images-na.ssl-images-amazon.com/images/I/41co2FtpNRL._AC_UL200_SR200,200_.jpg",Samsung,"SM-G9650 Smartphone Galaxy S9+ 6.2"", color Negro. Telcel ",3
70,"https://images-na.ssl-images-amazon.com/images/I/71LrrVpuMkL._AC_UL200_SR200,200_.jpg",Smartphone,Apple iPhone 8 64GB color gris. AT&T pre-pago ,3
71,"https://images-na.ssl-images-amazon.com/images/I/81jvEY2yw%2BL._AC_UL200_SR200,200_.jpg",GHIA,"Smartphone 3G - Pantalla de 5"" - 1GB de RAM - 8GB de Memoria - Dual SIM - Camara de 2.08mp - Wi-Fi - Bluetooth ",3
72,"https://images-na.ssl-images-amazon.com/images/I/51g6CNNep0L._AC_UL200_SR200,200_.jpg",Samsung,"SM-G9600 Smartphone Galaxy S9 5.8"", color Gris. Telcel ",3
73,"https://images-na.ssl-images-amazon.com/images/I/61r%2BDwYYYUL._AC_UL200_SR200,200_.jpg",Xiaomi,"5 Plus Smartphone 5.9"", Color Azul. Telcel/Desbloqueado ",3
74,"https://images-na.ssl-images-amazon.com/images/I/51WMaE0DPiL._AC_UL200_SR200,200_.jpg",Apple,iPhone 8 Plus 64 GB dorado ,3
75,"https://images-na.ssl-images-amazon.com/images/I/61ezYB5jJWL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS Oro - 256GB - Telcel Prepago ,3
76,"https://images-na.ssl-images-amazon.com/images/I/41co2FtpNRL._AC_UL200_SR200,200_.jpg",Samsung,"SM-G9600 Smartphone Galaxy S9 5.8"", color Negro. Telcel ",3
77,"https://images-na.ssl-images-amazon.com/images/I/41CVYO46dWL._AC_UL200_SR200,200_.jpg",Smartphone,Apple iPhone 8 Plus 256GB color gris. AT&T pre-pago ,3
78,"https://images-na.ssl-images-amazon.com/images/I/51z00fPJbML._AC_UL200_SR200,200_.jpg",Lanix,"Ilium M5 Smartphone 5.5"", Ilium M5 16 GB, Color Gris. Telcel/Desbloqueado ",3
