,TV Img,TV Brand,TV Model,Tag
99,"https://images-na.ssl-images-amazon.com/images/I/51VjbWz0yiL._AC_UL200_SR200,200_.jpg",RCA,"RCA Televisor 40 Pulgadas 1080p Full HD TV, Pantalla LED - RLDED4016A (Renovada) ",2
100,"https://images-na.ssl-images-amazon.com/images/I/41NkqRWgYiL._AC_UL200_SR200,200_.jpg",Makena,"Makena Pantalla 24A2 24"" HD Puerto USB HDMI ",2
101,"https://images-na.ssl-images-amazon.com/images/I/6163zwqUltL._AC_UL200_SR200,200_.jpg",Hisense,Hisense Smart TV 65inch 4K 65R6E (Renewed) ,2
102,"https://images-na.ssl-images-amazon.com/images/I/61aAEHge0BL._AC_UL200_SR200,200_.jpg",TCL,"TCL 32""Clase 720P HD LED Roku Smart TV Serie 3 |Alexa y Google Assistant| 32S331 (Renewed) ",2
103,"https://images-na.ssl-images-amazon.com/images/I/61aGRM8DJOL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 43R6000GM Serie R6 43"" 4K Uhd, Smart TV, Roku TV, Hdr10, Roku Search, (2020) (43"") (43"") ",2
104,"https://images-na.ssl-images-amazon.com/images/I/71Skj2p2B%2BL._AC_UL200_SR200,200_.jpg",TV,"TV Hyundai 50"" 4K UHD Smart Tv LED Hyled5014N4Km ",2
105,"https://images-na.ssl-images-amazon.com/images/I/81im1XH0fXL._AC_UL200_SR200,200_.jpg",TV,"TV Hisense 50"" 4K Smart TV LED 50H6G (2020) ",2
106,"https://images-na.ssl-images-amazon.com/images/I/71TaSzqCl5L._AC_UL200_SR200,200_.jpg",Seiki,Seiki Pantalla 32 SC-32HS880N Television Led Full HD HDMI USB ,2
107,"https://images-na.ssl-images-amazon.com/images/I/81hR-d2IOeL._AC_UL200_SR200,200_.jpg",Sony,Sony XBR-65X850G - clase 65 pulgadas (64.5 pulgadas de vision) - TV LED serie X850G - Smart TV - Android TV - 4K UHD ,2
108,"https://images-na.ssl-images-amazon.com/images/I/712dWGCI6tL._AC_UL200_SR200,200_.jpg",SANSUI,"SANSUI Monitor TV 22"" Led SMX2219 HDMI USB ",2
109,"https://images-na.ssl-images-amazon.com/images/I/71AtB6u9TnL._AC_UL200_SR200,200_.jpg",TV,"TV LG 55"" 4K Smart TV Oled Oled55Bxpua ",2
110,"https://images-na.ssl-images-amazon.com/images/I/71Skj2p2B%2BL._AC_UL200_SR200,200_.jpg",TV,"TV Hyundai 55"" 4K UHD Smart Tv LED Hyled5519N4Km ",2
111,"https://images-na.ssl-images-amazon.com/images/I/61YiMZJsjyL._AC_UL200_SR200,200_.jpg",TV,"TV TCL 50"" 4K UHD Roku Tv LED 50S425 ",2
