,ProductImg,Product Brand,Product Model,Tag
115,"https://images-na.ssl-images-amazon.com/images/I/51fwjQCRxvL._AC_UL85_SR85,85_.jpg",LG,"LG Television de 65"" SmarTV Pantalla 4K Ultra HD |Magic Remote |HDR10|Dolby Vision | Google Assistant | Alexa | Apple ",2
120,"https://images-na.ssl-images-amazon.com/images/I/71YlCIAhj6L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 58"" 4K Cristal UHD Smart TV LED UN58TU6900FXZX (2020) ",2
121,"https://images-na.ssl-images-amazon.com/images/I/71TJZZ%2Bd2fL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 32"" HD Smart TV LED UN32T4300AFXZX (2020) ",2
122,"https://images-na.ssl-images-amazon.com/images/I/91EAb3fKMBL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 50"" 4K UHD Smart Tv LED UN50TU7000FXZX ( 2020 ) ",2
123,"https://images-na.ssl-images-amazon.com/images/I/916Ts4fDi5L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 32"" HD Smart TV LED LH32BETBLGKXZX (2020) ",2
124,"https://images-na.ssl-images-amazon.com/images/I/71KefL8QawL._AC_UL200_SR200,200_.jpg",Tv,"Tv Samsung Crystal 4K UHD 55"" Smart Tv UN55TU8000FXZX Alexa built-in (2020) ",2
125,"https://images-na.ssl-images-amazon.com/images/I/41simpaCMrL._AC_UL200_SR200,200_.jpg",Hisense,Hisense 43 pulgadas Smart TV con Sistema Operativo Roku Ultra Alta Definicion Pantalla Wi-Fi LED 1080P con Puertos HDMI ,2
126,"https://images-na.ssl-images-amazon.com/images/I/81UYqty05XL._AC_UL200_SR200,200_.jpg",TV,"TV Sony 43"" 4K UHD Smart Tv LED KDL-43X720F ",2
127,"https://images-na.ssl-images-amazon.com/images/I/71VlPnHMSvL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K UHD Smart Tv LED UN55TU8500FXZX ( 2020 ) ",2
128,"https://images-na.ssl-images-amazon.com/images/I/81-ieVP4QZL._AC_UL200_SR200,200_.jpg",Sony,"Sony Pantalla 49 4K Ultra HD, Smart TV HDR KDL-49X720F ",2
129,"https://images-na.ssl-images-amazon.com/images/I/719%2BSi5v4AL._AC_UL200_SR200,200_.jpg",TV,"TV LG 43"" FHD Smart TV LED 43LM6300PUB 2020 ",2
130,"https://images-na.ssl-images-amazon.com/images/I/71HQa5eW0mL._AC_UL200_SR200,200_.jpg",TV,"TV LG 50"" 4K Smart TV LED 50UN8000PUB 2020 ",2
131,"https://images-na.ssl-images-amazon.com/images/I/61KUFcjQh1L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K Smart TV QLED QN55Q70 (2020) ",2
132,"https://images-na.ssl-images-amazon.com/images/I/81vmLvs6BrL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 65"" 4K UHD Smart Tv QLED QN65Q60TAFXZX ( 2020 ) ",2
133,"https://images-na.ssl-images-amazon.com/images/I/61J0HIHi%2B7L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 65"" 4K UHD Smart Tv QLED Qn65Q70TAFXZX ( 2020 ) ",2
134,"https://images-na.ssl-images-amazon.com/images/I/91aYCF4I1OL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 75"" 4K UHD Smart Tv LED UN75TU7000FXZX ( 2020 ) ",2
135,"https://images-na.ssl-images-amazon.com/images/I/61ZiJDyp-gL._AC_UL200_SR200,200_.jpg",TV,"TV LG 43"" 4K Smart TV LED 43UN7100PUA 2020 ",2
136,"https://images-na.ssl-images-amazon.com/images/I/71GmEiIcaHL._AC_UL200_SR200,200_.jpg",TV,"TV LG 60"" 4K Smart TV LED 60UN7300PUA 2020 ",2
137,"https://images-na.ssl-images-amazon.com/images/I/713rfj7KKSL._AC_UL200_SR200,200_.jpg",TV,"TV LG 55"" 4K Smart TV LED 55UN7300PUC 2020 ",2
138,"https://images-na.ssl-images-amazon.com/images/I/71H96gPbdhL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 32"" Serie H5F1 VIDAA HD Smart TV (32H5F1, 2020) ",2
139,"https://images-na.ssl-images-amazon.com/images/I/61YiMZJsjyL._AC_UL200_SR200,200_.jpg",TV,"TV TCL 43"" 4K UHD Roku Tv LED 43S425-MX ",2
140,"https://images-na.ssl-images-amazon.com/images/I/715yuClTJ6L._AC_UL200_SR200,200_.jpg",SANSUI,SANSUI Smart TV 32 LED HD Netflix Dolby Audio SMX-32P28NF ,2
141,"https://images-na.ssl-images-amazon.com/images/I/91-gHZ%2BX9YL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 58"" 4K UHD Smart Tv LED UN58TU7000FXZX ( 2020 ) ",2
142,"https://images-na.ssl-images-amazon.com/images/I/71p18I-YMzL._AC_UL200_SR200,200_.jpg",TV,"TV LG 55"" 4K Smart TV LED NanoCell 55NANO81UNA 2020 ",2
143,"https://images-na.ssl-images-amazon.com/images/I/61XuhC2fyhL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 32H4000FM Serie 4. 32"" HD, Smart TV, Roku TV, HDR, Roku Search, (2019) (32"") (Renewed) ",2
144,"https://images-na.ssl-images-amazon.com/images/I/81-%2BjmXSNyL._AC_UL200_SR200,200_.jpg",TV,"TV Hisense 43"" 4K Roku TV LED R6000GM (2020) ",2
145,"https://images-na.ssl-images-amazon.com/images/I/61YiMZJsjyL._AC_UL200_SR200,200_.jpg",TV,"TV TCL 55"" 4K UHD Roku Tv LED 55S425-MX ",2
146,"https://images-na.ssl-images-amazon.com/images/I/61nwkFpUBLL._AC_UL200_SR200,200_.jpg",Sony,"Sony BRAVIA KDL-32W600D. Pantalla de 32"", HD ready Smart TV ",2
147,"https://images-na.ssl-images-amazon.com/images/I/61%2BDzdrlc-L._AC_UL200_SR200,200_.jpg",TV,"TV LG 55"" 4K Smart TV LED 55UN7100PUA 2020 ",2
148,"https://images-na.ssl-images-amazon.com/images/I/91-gHZ%2BX9YL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 43"" 4K UHD Smart Tv LED UN43TU7000FXZX ( 2020 ) ",2
149,"https://images-na.ssl-images-amazon.com/images/I/51XOh7jvPbL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 40H5500F Android TV Smart TV 40"", 1080p, Built-in Wi-Fi, 2019, Color Negro ",2
150,"https://images-na.ssl-images-amazon.com/images/I/61aGRM8DJOL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 50R6000GM Serie R6 50"" 4K Uhd, Smart TV, Roku TV, Hdr10, Roku Search, (2020) (50"") ",2
151,"https://images-na.ssl-images-amazon.com/images/I/71sJNFHpYoL._AC_UL200_SR200,200_.jpg",Hisense,Hisense 32H4F 32-Inch LED Roku Smart TV with Alexa and Google Assistant Compatibility (2020) (Reacondicionado) ,2
